timestamp,resort,skill,height,weight,piste,length,stiffness
2025-05-31 22:23:28,pamporovo,intermediate,190,103,туристическа,178,stiff
2025-06-12 21:29:05,pamporovo,intermediate,187,dynamic,black,170,пистови
2025-06-12 21:43:19,pamporovo,intermediate,187,dynamic,black,170,пистови
2025-06-16 18:41:01,pamporovo,intermediate,186,all-mountain,blue,170,ол-маунтин
2025-07-26 21:28:10,pamporovo,beginner,170,speed,green,157,слалом
2025-08-02 18:21:18,pamporovo,Експерт,180,all-mountain,Зелена,165,All-Mountain
2025-08-02 18:21:47,pamporovo,Експерт,172,all-mountain,Зелена,162,All-Mountain
2025-08-02 18:22:04,pamporovo,Експерт,172,all-mountain,Зелена,162,All-Mountain
2025-08-02 18:22:32,pamporovo,Средно ниво,186,all-mountain,Зелена,182,All-Mountain
2025-08-02 18:22:46,pamporovo,Експерт,170,all-mountain,Зелена,162,All-Mountain
2025-08-02 18:22:51,pamporovo,Експерт,170,all-mountain,Зелена,162,All-Mountain
2025-08-02 18:22:58,pamporovo,Средно ниво,187,all-mountain,Зелена,182,All-Mountain
2025-08-02 18:27:48,pamporovo,Средно ниво,187,all-mountain,Зелена,182,All-Mountain
2025-08-02 18:28:43,pamporovo,Средно ниво,167,all-mountain,Зелена,163,All-Mountain
2025-08-02 18:30:21,pamporovo,Средно ниво,167,dynamic,Зелена,158,Piste
2025-08-02 18:30:32,pamporovo,Средно ниво,172,all-mountain,Зелена,163,All-Mountain
2025-08-02 18:30:47,pamporovo,Експерт,172,all-mountain,Зелена,162,All-Mountain
2025-08-02 18:32:20,pamporovo,Експерт,172,all-mountain,Зелена,162,All-Mountain
2025-08-02 18:33:33,pamporovo,Средно ниво,172,speed,Зелена,158,Slalom
2025-08-02 18:33:52,pamporovo,Експерт,172,all-mountain,Зелена,162,All-Mountain
2025-08-02 18:34:04,pamporovo,Експерт,172,speed,Зелена,175,Slalom
2025-08-02 18:34:14,pamporovo,Средно ниво,172,all-mountain,Зелена,163,All-Mountain
2025-08-02 18:34:23,pamporovo,Средно ниво,176,speed,Зелена,165,Slalom
2025-08-02 18:34:33,pamporovo,Средно ниво,172,all-mountain,Зелена,163,All-Mountain
2025-08-02 18:34:42,pamporovo,Средно ниво,172,all-mountain,Зелена,163,All-Mountain
2025-08-02 18:38:04,pamporovo,Средно ниво,172,all-mountain,Зелена,163,All-Mountain
2025-08-02 18:38:13,pamporovo,Средно ниво,172,speed,Зелена,158,Slalom
2025-08-02 18:38:24,pamporovo,Средно ниво,167,all-mountain,Зелена,163,All-Mountain
2025-08-02 18:38:32,pamporovo,Експерт,172,all-mountain,Зелена,162,All-Mountain
2025-08-02 18:39:41,pamporovo,Експерт,172,all-mountain,Зелена,162,All-Mountain
2025-08-02 18:41:17,pamporovo,Експерт,172,all-mountain,Зелена,162,All-Mountain
2025-08-02 18:46:14,pamporovo,Средно ниво,174,speed,Зелена,158,Slalom
2025-08-02 18:46:21,pamporovo,Начинаещ,172,speed,Зелена,158,Slalom
2025-08-02 18:46:28,pamporovo,Начинаещ,172,all-mountain,Зелена,163,All-Mountain
2025-08-02 18:46:34,pamporovo,Начинаещ,172,all-mountain,Зелена,163,All-Mountain
2025-08-02 18:47:04,pamporovo,Начинаещ,172,all-mountain,Зелена,163,All-Mountain
2025-08-02 18:47:07,pamporovo,Начинаещ,172,speed,Зелена,158,Slalom
2025-08-02 18:47:15,pamporovo,Начинаещ,172,all-mountain,Зелена,163,All-Mountain
2025-08-02 18:47:20,pamporovo,Начинаещ,172,all-mountain,Зелена,163,All-Mountain
2025-08-02 18:47:29,pamporovo,Експерт,172,all-mountain,Зелена,162,All-Mountain
2025-08-02 18:47:36,pamporovo,Начинаещ,172,speed,Зелена,158,Slalom
2025-08-02 18:48:54,pamporovo,Начинаещ,172,speed,Зелена,158,Slalom
2025-08-02 18:48:59,pamporovo,Начинаещ,172,all-mountain,Зелена,163,All-Mountain
2025-08-02 18:49:03,pamporovo,Начинаещ,172,all-mountain,Зелена,163,All-Mountain
2025-08-02 18:49:07,pamporovo,Начинаещ,172,all-mountain,Зелена,163,All-Mountain
